t_ms,raw,mv,val3,val4
113,2226,2115,0,0
114,2212,2102,0,0
115,2207,2097,0,0
116,2217,2107,0,0
117,2242,2130,0,0
118,2232,2121,0,0
119,2209,2099,0,0
120,2226,2115,0,0
121,2220,2109,0,0
122,2193,2084,0,0
123,2226,2115,0,0
124,2162,2054,0,0
125,2175,2067,0,0
126,2182,2073,0,0
127,2173,2065,0,0
128,2169,2061,0,0
129,2201,2091,0,0
130,2188,2079,0,0
131,2170,2062,0,0
132,2182,2073,0,0
133,2183,2074,0,0
134,2212,2102,0,0
135,2197,2088,0,0
136,2197,2088,0,0
137,2203,2093,0,0
138,2194,2085,0,0
139,2206,2096,0,0
140,2222,2111,0,0
141,2192,2083,0,0
142,2193,2084,0,0
143,2215,2105,0,0
144,2226,2115,0,0
145,2206,2096,0,0
146,2225,2114,0,0
147,2217,2107,0,0
148,2230,2119,0,0
149,2209,2099,0,0
150,2210,2100,0,0
151,2203,2093,0,0
152,2212,2102,0,0
153,2208,2098,0,0
154,2220,2109,0,0
155,2211,2101,0,0
156,2224,2113,0,0
157,2215,2105,0,0
158,2219,2108,0,0
159,2215,2105,0,0
160,2232,2121,0,0
161,2209,2099,0,0
162,2206,2096,0,0
163,2217,2107,0,0
164,2225,2114,0,0
165,2197,2088,0,0
166,2210,2100,0,0
167,2123,2017,0,0
168,2114,2009,0,0
169,2166,2058,0,0
170,2162,2054,0,0
171,2160,2052,0,0
172,2153,2046,0,0
173,2189,2080,0,0
174,2180,2071,0,0
175,2181,2072,0,0
176,2202,2092,0,0
177,2156,2049,0,0
178,2188,2079,0,0
179,2192,2083,0,0
180,2207,2097,0,0
181,2193,2084,0,0
182,2179,2070,0,0
183,2195,2086,0,0
184,2207,2097,0,0
185,2202,2092,0,0
186,2205,2095,0,0
187,2213,2103,0,0
188,2205,2095,0,0
189,2218,2108,0,0
190,2230,2119,0,0
191,2216,2106,0,0
192,2201,2091,0,0
193,2178,2069,0,0
194,2181,2072,0,0
195,2197,2088,0,0
196,2196,2087,0,0
197,2209,2099,0,0
198,2210,2100,0,0
199,2192,2083,0,0
200,2221,2110,0,0
201,2234,2123,0,0
202,2204,2094,0,0
203,2207,2097,0,0
204,2209,2099,0,0
205,2201,2091,0,0
206,2218,2108,0,0
207,2210,2100,0,0
208,2202,2092,0,0
209,2206,2096,0,0
210,2170,2062,0,0
211,2155,2048,0,0
212,2166,2058,0,0
213,2168,2060,0,0
214,2186,2077,0,0
215,2178,2069,0,0
216,2196,2087,0,0
217,2189,2080,0,0
218,2187,2078,0,0
219,2180,2071,0,0
220,2174,2066,0,0
221,2191,2082,0,0
222,2214,2104,0,0
223,2204,2094,0,0
224,2206,2096,0,0
225,2192,2083,0,0
226,2213,2103,0,0
227,2209,2099,0,0
228,2209,2099,0,0
229,2182,2073,0,0
230,2207,2097,0,0
231,2182,2073,0,0
232,2202,2092,0,0
233,2226,2115,0,0
234,2185,2076,0,0
235,2197,2088,0,0
236,2207,2097,0,0
237,2213,2103,0,0
238,2220,2109,0,0
239,2212,2102,0,0
240,2222,2111,0,0
241,2206,2096,0,0
242,2211,2101,0,0
243,2224,2113,0,0
244,2172,2064,0,0
