sample_index,can_id,can_id_hex,signal,node,timestamp_ms,value,units,raw_data
0,1795,0x703,engine_rpm,master,60702,0,rpm,260713104801792
1,193,0x0C1,,,0,512,raw,512
2,1795,0x703,engine_rpm,master,60722,0,rpm,260799004147712
3,1795,0x703,engine_rpm,master,60742,0,rpm,260884903493632
4,1795,0x703,engine_rpm,master,60759,62,rpm,260957917937726
5,1795,0x703,engine_rpm,master,60779,62,rpm,261043817283646
6,1795,0x703,engine_rpm,master,60788,2290,rpm,261082471991538
7,193,0x0C1,,,0,769,raw,769
8,177,0x0B1,front_brake_pressure,brake_node_1,60799,0,psi_x10,261129716629504
9,178,0x0B2,rear_brake_pressure,brake_node_1,60799,1945,psi_x10,261129716631449
10,1795,0x703,engine_rpm,master,60809,2290,rpm,261172666304754
11,177,0x0B1,front_brake_pressure,brake_node_1,60809,0,psi_x10,261172666302464
12,178,0x0B2,rear_brake_pressure,brake_node_1,60809,1945,psi_x10,261172666304409
13,177,0x0B1,front_brake_pressure,brake_node_1,60819,0,psi_x10,261215615975424
14,178,0x0B2,rear_brake_pressure,brake_node_1,60819,1945,psi_x10,261215615977369
15,1795,0x703,engine_rpm,master,60829,2290,rpm,261258565650674
16,177,0x0B1,front_brake_pressure,brake_node_1,60829,0,psi_x10,261258565648384
17,178,0x0B2,rear_brake_pressure,brake_node_1,60829,1945,psi_x10,261258565650329
18,177,0x0B1,front_brake_pressure,brake_node_1,60839,0,psi_x10,261301515321344
19,178,0x0B2,rear_brake_pressure,brake_node_1,60839,1945,psi_x10,261301515323289
20,177,0x0B1,front_brake_pressure,brake_node_1,60849,0,psi_x10,261344464994304
21,178,0x0B2,rear_brake_pressure,brake_node_1,60849,1945,psi_x10,261344464996249
22,1795,0x703,engine_rpm,master,60849,2290,rpm,261344464996594
23,177,0x0B1,front_brake_pressure,brake_node_1,60859,0,psi_x10,261387414667264
24,178,0x0B2,rear_brake_pressure,brake_node_1,60859,1945,psi_x10,261387414669209
25,1795,0x703,engine_rpm,master,60861,822,rpm,261396004602678
26,177,0x0B1,front_brake_pressure,brake_node_1,60869,0,psi_x10,261430364340224
27,178,0x0B2,rear_brake_pressure,brake_node_1,60869,1945,psi_x10,261430364342169
