sample_index,can_id,can_id_hex,signal,node,timestamp_ms,value,units,received_at_unix,publish_time_us
0,193,0x0C1,,,0,512,,1781304888.802274,51181880
1,196,0x0C4,,,0,512,,1781304888.802274,51181880
2,179,0x0B3,Brake pressure F,Node 1,43037,0,deg_x10,1781304880.685413,43111887
3,180,0x0B4,Brake pressure R,Node 1,43037,0,psi_x10,1781304880.685413,43111887
4,188,0x0BC,Engine rpm,Node 4,43104,2897,deg_x10,1781304880.685413,43111887
5,179,0x0B3,Brake pressure F,Node 1,43137,0,deg_x10,1781304880.791757,43211874
6,180,0x0B4,Brake pressure R,Node 1,43137,0,psi_x10,1781304880.791757,43211874
7,188,0x0BC,Engine rpm,Node 4,43204,2897,deg_x10,1781304880.791757,43211874
8,179,0x0B3,Brake pressure F,Node 1,43237,0,deg_x10,1781304880.929885,43312041
9,180,0x0B4,Brake pressure R,Node 1,43237,0,psi_x10,1781304880.929885,43312041
10,188,0x0BC,Engine rpm,Node 4,43304,2897,deg_x10,1781304880.929885,43312041
11,179,0x0B3,Brake pressure F,Node 1,43337,0,deg_x10,1781304880.961066,43413299
12,180,0x0B4,Brake pressure R,Node 1,43337,0,psi_x10,1781304880.961066,43413299
13,188,0x0BC,Engine rpm,Node 4,43404,2897,deg_x10,1781304880.961066,43413299
14,179,0x0B3,Brake pressure F,Node 1,43437,0,deg_x10,1781304881.092913,43511874
15,180,0x0B4,Brake pressure R,Node 1,43437,0,psi_x10,1781304881.092913,43511874
16,188,0x0BC,Engine rpm,Node 4,43504,2897,deg_x10,1781304881.092913,43511874
17,179,0x0B3,Brake pressure F,Node 1,43537,0,deg_x10,1781304881.286662,43611874
18,180,0x0B4,Brake pressure R,Node 1,43537,0,psi_x10,1781304881.286662,43611874
19,188,0x0BC,Engine rpm,Node 4,43604,2897,deg_x10,1781304881.286662,43611874
20,179,0x0B3,Brake pressure F,Node 1,43637,0,deg_x10,1781304881.302985,43711873
21,180,0x0B4,Brake pressure R,Node 1,43637,0,psi_x10,1781304881.302985,43711873
22,188,0x0BC,Engine rpm,Node 4,43704,2897,deg_x10,1781304881.302985,43711873
23,179,0x0B3,Brake pressure F,Node 1,43737,0,deg_x10,1781304881.303266,43811902
24,180,0x0B4,Brake pressure R,Node 1,43737,0,psi_x10,1781304881.303266,43811902
25,188,0x0BC,Engine rpm,Node 4,43804,2897,deg_x10,1781304881.303266,43811902
26,179,0x0B3,Brake pressure F,Node 1,43837,0,deg_x10,1781304881.602414,43923667
27,180,0x0B4,Brake pressure R,Node 1,43837,0,psi_x10,1781304881.602414,43923667
28,188,0x0BC,Engine rpm,Node 4,43914,2897,deg_x10,1781304881.602414,43923667
29,179,0x0B3,Brake pressure F,Node 1,44137,0,deg_x10,1781304881.886510,44231959
30,180,0x0B4,Brake pressure R,Node 1,44137,0,psi_x10,1781304881.886510,44231959
31,188,0x0BC,Engine rpm,Node 4,44224,2897,deg_x10,1781304881.886510,44231959
32,179,0x0B3,Brake pressure F,Node 1,44237,0,deg_x10,1781304881.886612,44331891
33,180,0x0B4,Brake pressure R,Node 1,44237,0,psi_x10,1781304881.886612,44331891
34,188,0x0BC,Engine rpm,Node 4,44324,2897,deg_x10,1781304881.886612,44331891
35,179,0x0B3,Brake pressure F,Node 1,44437,0,deg_x10,1781304882.000404,44471876
36,180,0x0B4,Brake pressure R,Node 1,44437,0,psi_x10,1781304882.000404,44471876
37,188,0x0BC,Engine rpm,Node 4,44464,2897,deg_x10,1781304882.000404,44471876
38,179,0x0B3,Brake pressure F,Node 1,44537,0,deg_x10,1781304882.309632,44571861
39,180,0x0B4,Brake pressure R,Node 1,44537,0,psi_x10,1781304882.309632,44571861
40,188,0x0BC,Engine rpm,Node 4,44564,2897,deg_x10,1781304882.309632,44571861
41,179,0x0B3,Brake pressure F,Node 1,44637,0,deg_x10,1781304882.309900,44671860
42,180,0x0B4,Brake pressure R,Node 1,44637,0,psi_x10,1781304882.309900,44671860
43,188,0x0BC,Engine rpm,Node 4,44664,2897,deg_x10,1781304882.309900,44671860
44,179,0x0B3,Brake pressure F,Node 1,44737,0,deg_x10,1781304882.310906,44771860
45,180,0x0B4,Brake pressure R,Node 1,44737,0,psi_x10,1781304882.310906,44771860
46,188,0x0BC,Engine rpm,Node 4,44764,2897,deg_x10,1781304882.310906,44771860
47,179,0x0B3,Brake pressure F,Node 1,44837,0,deg_x10,1781304882.311278,44871860
48,180,0x0B4,Brake pressure R,Node 1,44837,0,psi_x10,1781304882.311278,44871860
49,188,0x0BC,Engine rpm,Node 4,44864,2897,deg_x10,1781304882.311278,44871860
50,179,0x0B3,Brake pressure F,Node 1,44937,0,deg_x10,1781304882.580065,44971860
51,180,0x0B4,Brake pressure R,Node 1,44937,0,psi_x10,1781304882.580065,44971860
52,188,0x0BC,Engine rpm,Node 4,44964,2897,deg_x10,1781304882.580065,44971860
53,179,0x0B3,Brake pressure F,Node 1,45037,0,deg_x10,1781304882.784406,45072345
54,180,0x0B4,Brake pressure R,Node 1,45037,0,psi_x10,1781304882.784406,45072345
55,188,0x0BC,Engine rpm,Node 4,45064,2897,deg_x10,1781304882.784406,45072345
56,179,0x0B3,Brake pressure F,Node 1,45137,0,deg_x10,1781304882.784454,45171860
